Elevation,Transect,Quadrat,Species,Cover,Collection,Long_Form,Photos
600,B,1,Minksia,2,TB600.1.2,Minksia,
600,B,1,NieblaCeruchis,1,TB600.1.3,Niebla ceruchis faveolate,
600,B,1,Arctothelium,T,TB600.1.4,Arctothelium,
600,B,1,YelRhizocarponSchizidia,1,TB600.1.5,Yellow Rhizocarpon with schizidia,
600,B,1,BuellaJorgensis,3,TB600.1.6,Buellia jorgensis,
600,B,1,Chrysothrix,T,TB600.1.7,Chrysothrix,
600,B,1,GrayRhizocarpon,T,TB600.1.8,Gray Rhizocarpon,
600,B,1,SorediateAmygdalaria,1,TB600.1.9,sorediate Amygdalaria,
600,B,1,BlackStipCren,5,TB600.1.10,Black stipitate apothecia crenulate visible proper margin ,
600,B,2,Arctothelium,1,TB600.1.4,,
600,B,2,YellRhizoCentApo,T,TB600.2.1,Yellow Rhizocarpon centrally clustered apothecia,
600,B,2,CaloOrtho,T,TB600.1.1,,
600,B,2,Minksia,T,TB600.1.2,,
600,B,3,CaloOrtho,1,TB600.1.1,,
600,B,3,Arctothelium,3,TB600.1.4,,
600,B,3,Minksia,T,TB600.1.2,,
600,B,3,YelRhizocarponSchizidia,3,TB600.1.5,,
600,B,3,BuellaJorgensis,1,TB600.1.6,,
600,B,3,YellRhizoCentApo,2,TB600.2.1,,
600,B,3,Chrysothrix,T,TB600.1.7,,
600,B,3,NieblaCeruchis,T,TB600.1.3,,
600,B,3,Endoconchic,T,TB600.3.1,Endoconchic black apothecia no visible thallus,
600,B,3,Enterographa,T,TB600.3.2,graphoid Enterographa,
600,B,4,CrazyFlatRamalina,10,TB600.4.1,crazy flattened finely dissected Ramalina,
600,B,4,Minksia,2,TB600.4.5,lignicolous Minksia,
600,B,4,Xylographa,T,TB600.4.2,Xylographa,
600,B,4,BuellaJorgensisLign,T,TB600.4.3,lignicolous Buellia jorgensis,
600,B,4,HetFoll,T,TB600.4.4,Heterodermia follmanii,
600,B,4,whiteLignBuellia,T,TB600.4.6,white lignicolous Buellia,
600,B,5,CaloOrtho,T,TB600.1.1,,
600,B,5,Arctothelium,T,TB600.1.4,,
600,B,5,YellRhizoCentApo,1,TB600.2.1,,
600,B,5,GrayRhizocarpon,T,TB600.1.8,,
600,B,5,BlackStipCren,2,TB600.1.10,,
600,B,5,Minksia,T,TB600.1.2,,
600,B,5,BuellaJorgensis,T,TB600.1.6,,
600,B,5,sorNiebla,T,TB600.5.1,Niebla granulans sorediate,
600,B,6,Arctothelium,T,TB600.1.4,,
600,B,6,YelRhizocarponSchizidia,T,TB600.1.5,,
600,B,6,YellRhizoCentApo,T,TB600.2.1,,
600,B,7,CaloOrtho,1,TB600.1.1,,
600,B,7,Arctothelium,T,TB600.1.4,,
600,B,7,YellRhizoCentApo,T,TB600.2.1,,
600,B,8,NieblaCeruchis,T,TB600.1.3,,
600,B,8,Minksia,T,TB600.1.2,,
600,B,8,BlackStipCren,10,TB600.1.10,,
600,B,8,CaloOrtho,T,TB600.1.1,,
600,B,8,GrayRhizocarpon,T,TB600.1.8,,
600,B,8,Arctothelium,T,TB600.1.4,,
600,B,8,YellRhizoCentApo,T,TB600.2.1,,
600,B,8,BuellaJorgensis,T,TB600.1.6,,
600,B,9,Arctothelium,1,TB600.1.4,,
600,B,9,YelRhizocarponSchizidia,T,TB600.1.5,,
600,B,9,CaloOrtho,T,TB600.1.1,,
600,B,10,Arctothelium,1,TB600.1.4,,
600,B,10,YelRhizocarponSchizidia,T,TB600.1.5,,
600,B,10,BuellaJorgensis,T,TB600.1.6,,
800,B,1,Chrysothrix,1,TB800.1.1,Chrysothrix,
800,B,1,HetFoll,T,TB800.1.2,Heterodermia follmanii,
