"","Species","Transect","Collection","Elevation","Quadrat","Collection2","Cover","Time_Surface","Time_Absorption","Angle","N","SpN","Genus","Order","Family","Form","Photobiont","Number","Sample","Mass",".N","d15N",".C","d13C","Notes"
"11","AmygdalariaBullate","B","TB800.1.9","800","1","TB_800_1_9","T",3.5,65,75,144,4,"Amygdalaria","Lecideales","","Crustose","Trebouxia","9",NA,NA,NA,NA,NA,NA,"all the same?"
"12","AmygdalariaBullate","B","TB800.1.9","800","10","TB_800_1_9","25",3.5,65,75,144,4,"Amygdalaria","Lecideales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"13","AmygdalariaBullate","B","TB800.1.9","800","3","TB_800_1_9","1",3.5,65,75,144,4,"Amygdalaria","Lecideales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"14","AmygdalariaBullate","B","TB800.1.9","800","4","TB_800_1_9","T",3.5,65,75,144,4,"Amygdalaria","Lecideales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"15","AmygdalariaBullate","B","TB800.1.9","800","5","TB_800_1_9","12",3.5,65,75,144,4,"Amygdalaria","Lecideales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"16","AmygdalariaBullate","B","TB800.1.9","800","7","TB_800_1_9","1",3.5,65,75,144,4,"Amygdalaria","Lecideales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"17","AmygdalariaBullate","B","TB800.1.9","800","8","TB_800_1_9","T",3.5,65,75,144,4,"Amygdalaria","Lecideales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"18","AmygdalariaBullate","B","TB800.1.9","800","9","TB_800_1_9","2",3.5,65,75,144,4,"Amygdalaria","Lecideales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"19","ApotheciateCerebriformis","B","TB700.1.13","700","1","TB_700_1_13","1",57.5,90,60,88,5,"Roccellina","Arthoniales","Roccellaceae","Sub-Fruticose","Trentepohlia","13","B700_1.13.raw",5.223,1,-3.57,33.19,-29.15,""
"20","Arctothelium","B","TB500.1.5","500","1","TB_500_1_5","T",NA,NA,NA,10,6,"Arthothelium","Arthoniales","","Crustose","Trentepohlia","5",NA,NA,NA,NA,NA,NA,""
"21","Arctothelium","B","TB500.1.5","500","10","TB_500_1_5","T",NA,NA,NA,10,6,"Arthothelium","Arthoniales","","Crustose","Trentepohlia",NA,NA,NA,NA,NA,NA,NA,NA
"22","Arctothelium","B","TB500.1.5","500","2","TB_500_1_5","T",NA,NA,NA,10,6,"Arthothelium","Arthoniales","","Crustose","Trentepohlia",NA,NA,NA,NA,NA,NA,NA,NA
"23","Arctothelium","B","TB500.1.5","500","3","TB_500_1_5","T",NA,NA,NA,10,6,"Arthothelium","Arthoniales","","Crustose","Trentepohlia",NA,NA,NA,NA,NA,NA,NA,NA
"24","Arctothelium","B","TB500.1.5","500","5","TB_500_1_5","T",NA,NA,NA,10,6,"Arthothelium","Arthoniales","","Crustose","Trentepohlia",NA,NA,NA,NA,NA,NA,NA,NA
"25","Arctothelium","B","TB500.1.5","500","6","TB_500_1_5","T",NA,NA,NA,10,6,"Arthothelium","Arthoniales","","Crustose","Trentepohlia",NA,NA,NA,NA,NA,NA,NA,NA
"26","Arctothelium","B","TB500.1.5","500","7","TB_500_1_5","T",NA,NA,NA,10,6,"Arthothelium","Arthoniales","","Crustose","Trentepohlia",NA,NA,NA,NA,NA,NA,NA,NA
"27","Arctothelium","B","TB600.1.4","600","1","TB_600_1_4","T",1,4.5,NA,10,6,"Arthothelium","Arthoniales","","Crustose","Trentepohlia","4",NA,NA,NA,NA,NA,NA,""
"28","Arctothelium","B","TB600.1.4","600","10","TB_600_1_4","1",1,4.5,NA,10,6,"Arthothelium","Arthoniales","","Crustose","Trentepohlia",NA,NA,NA,NA,NA,NA,NA,NA
